variant,kind,s,phi_link,meanB_loop,meanB_farhalf,loop_len
k2,ctrl,2.9584,-2.85587e-07,0.00426939,0.00144393,18.5879
k2,link,3.3725,-0.582444,0.0478317,0.00161648,21.1903
k2,ctrl,3.3725,-3.78517e-07,0.00379657,0.00107465,21.1903
k2,link,3.8447,-0.582444,0.0418392,0.00108722,24.1569
k2,ctrl,3.8447,-4.67183e-07,0.00336405,0.000786105,24.1569
k2,link,4.3829,-0.582444,0.0366192,0.00073183,27.5389
k2,ctrl,4.3829,-5.49277e-07,0.00297253,0.00056649,27.5389
k2,link,4.9966,-0.582444,0.0320654,0.000492913,31.3943
k2,ctrl,4.9966,-6.23561e-07,0.00262106,0.00040307,31.3943
k2,link,5.6961,-0.582444,0.0280884,0.000332154,35.7895
k2,ctrl,5.6961,-6.89621e-07,0.00230753,0.000283765,35.7895
k2,link,6.4935,-0.582444,0.0246118,0.000223909,40.8
k2,ctrl,6.4935,-7.47604e-07,0.00202918,0.000198039,40.8
k2,link,7.4026,-0.582444,0.0215705,0.000150984,46.512
k2,ctrl,7.4026,-7.98003e-07,0.00178293,0.000137236,46.512
k2,link,8.4390,-0.582445,0.0189085,0.000101833,53.0237
k2,ctrl,8.4390,-8.41493e-07,0.00156565,9.45624e-05,53.0237
k2,link,9.6204,-0.582445,0.0165774,6.8694e-05,60.447
k2,ctrl,9.6204,-8.78822e-07,0.00137429,6.48643e-05,60.447
k2,link,10.9673,-0.582445,0.0145354,4.63456e-05,68.9096
k2,ctrl,10.9673,-9.10743e-07,0.00120598,4.43345e-05,68.9096
k2,link,12.5027,-0.582445,0.0127461,3.12711e-05,78.557
k2,ctrl,12.5027,-9.37969e-07,0.00105809,3.02176e-05,78.557
k2,link,14.2531,-0.582445,0.0111778,2.11015e-05,89.5549
k2,ctrl,14.2531,-9.61156e-07,0.000928218,2.05507e-05,89.5549
k2,link,16.2485,-0.582445,0.00980303,1.424e-05,102.093
k2,ctrl,16.2485,-9.8089e-07,0.000814226,1.39524e-05,102.093
k1r,link,0.7000,-0.514724,0.0380194,0.0719579,4.39823
k1r,ctrl,0.7000,-3.90201e-08,0.000319742,0.000284919,4.39823
k1r,link,0.7980,-0.506064,0.0069203,0.0100488,5.01398
k1r,ctrl,0.7980,-5.40812e-08,0.000308175,0.000266013,5.01398
k1r,link,0.9097,-0.504917,0.0035431,0.00356206,5.71594
