t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp
7.505,0.0963924552190992,0.25011843687345137,0.18257078399288176,0.00012171358615002231,4.40737523256985e-6,4,0.12895600027639417
7.761,0.09502060731800234,0.2392325187589008,0.19398741941487754,0.00012378253469233385,6.294834470530827e-6,4,0.09160273343313197
8.002,0.09372379001501252,0.22967025986552236,0.20411500485771786,0.0001246056072344464,8.56993542618896e-6,4,0.05714752991897062
8.265,0.09099920365592674,0.22015821754492015,0.2141871372988142,0.0001242221820119399,1.1374435276711998e-5,4,0.02894347388995585
8.513,0.08740567248459379,0.2119321462193863,0.22273560547474097,0.00012301532073738614,1.4164768581690684e-5,8,0.02380976925641666
8.764,0.08358152475565961,0.20420451887673172,0.23047178643667462,0.00012139487066014427,1.7017785201494526e-5,8,0.021632650167154124
9.018,0.07960891451814951,0.1968813250430499,0.2374583902944527,0.00011959081413934284,1.9897526819298525e-5,4,0.019012026134733736
9.255,0.0759045077477654,0.19040264182423922,0.24332792179589857,0.00011786583168969334,2.2596993804569622e-5,4,0.025266420709574983
9.512,0.07255325078991486,0.1837670965702851,0.2490092670393875,0.00011605346577165506,2.5556971272380636e-5,4,0.022744467095165977
9.753,0.07036731719570509,0.17794342236846697,0.25369580843599665,0.00011443596817063715,2.8364733750230668e-5,4,0.013297219849845894
10.012,0.06862501033069837,0.1720615931001506,0.25813087085574754,0.00011271436914789375,3.143040371315708e-5,4,0.025657427142528038
10.252,0.0669953228701031,0.1669481313822948,0.26173538689787557,0.00011105112945265354,3.429417841798707e-5,4,0.03477118807025078
10.512,0.06514812654899879,0.1617695903206103,0.2651218683058465,0.00010916240665902358,3.737109839214004e-5,4,0.03654017268889744
10.754,0.06376847087846962,0.15720135804985386,0.26784422901296095,0.00010739785008984044,4.015326777994676e-5,4,0.034963594865166814
11.016,0.06277694311831639,0.15247163259451968,0.2703532947649359,0.00010566122143917962,4.296133826355013e-5,4,0.03259695466345375
11.259,0.061955109741356755,0.14823760577117015,0.27230421417109923,0.00010435928398898757,4.527685555326994e-5,4,0.029431794487467657
11.502,0.0609405554835021,0.14417057927110558,0.27389607358386225,0.0001033849468031268,4.722533794218222e-5,4,0.0286504855532443
11.763,0.059692398652822644,0.13996538394750366,0.2752583169000731,0.00010253395834121582,4.886111325523411e-5,4,0.029018997226833137
12.005,0.05855992568040157,0.13619059916564114,0.2763092742868874,0.00010169498438879418,4.995371494810385e-5,4,0.028413672574384492
12.266,0.05735477217833394,0.1322686805352651,0.2773381242740218,0.00010063736183126907,5.07619081306483e-5,4,0.02734694871345811
12.509,0.05617051502462239,0.12879668572318628,0.2782199009640106,9.957379890881287e-5,5.129680980571524e-5,4,0.024184208954631848
12.753,0.05495046415091644,0.12551211085727854,0.27895256815334707,9.853614536148364e-5,5.170080393614884e-5,4,0.01751165462453343
13.017,0.053608042076331,0.12217619605738278,0.27944179325415497,9.753561781097101e-5,5.2022739708093875e-5,4,0.008761865497084811
13.263,0.0522454295698756,0.11923691301711127,0.2795158357022464,9.67733046831861e-5,5.222973664371533e-5,8,0.00720796000594454
13.511,0.05071154838064798,0.11641675989643306,0.2791815632512057,9.621044756425596e-5,5.238724349550634e-5,8,0.008696737001943417
13.76,0.04913604097452349,0.11368373058701288,0.2784590137804775,9.587539262533442e-5,5.255334722173733e-5,8,0.010152029103908049
14.011,0.04778608320639035,0.11101203781451396,0.27741689021558136,9.577513256429228e-5,5.279012947367177e-5,4,0.029615604546748473
14.264,0.046795609704892153,0.10839102890012847,0.2761498986408785,9.587422342043636e-5,5.3128290676546096e-5,4,0.07367783032514963
14.518,0.0460575261710009,0.10582921316199911,0.27475470635192023,9.608351864307775e-5,5.3533058554798756e-5,4,0.13319331873287388
14.753,0.04543691248597971,0.10353059438923452,0.2734137111386593,9.627250313309277e-5,5.390424942865394e-5,4,0.18498795005280047
15.008,0.04474715673175321,0.10112567849650743,0.27193097856315895,9.638221889204347e-5,5.424530314285234e-5,4,0.21367727067646752
15.264,0.044083113888767886,0.09881739716016143,0.2704049692569102,9.635399950217768e-5,5.449413769047205e-5,4,0.1998271200956535
15.5,0.04353986571919903,0.09677199394905546,0.2689287968433348,9.622271670120724e-5,5.4646836428085334e-5,4,0.16170042857981037
15.757,0.04300321995717967,0.0946423583945139,0.2672287577746537,9.602173945175424e-5,5.475195870844275e-5,4,0.11793490703708182
16.015,0.04246005077794097,0.09259416321026857,0.2654124873574075,9.581578386341598e-5,5.4823686659078054e-5,4,0.08607186323508777
16.252,0.0419204618702727,0.09076889614261904,0.2636375836340995,9.564694986199311e-5,5.48801275257904e-5,4,0.06901528170473313
16.51,0.0412815771047401,0.08885375841467234,0.26162118048564015,9.549895897406898e-5,5.495133968169682e-5,4,0.05900550324208979
16.767,0.040570685305951044,0.08699327895931286,0.2595254871759382,9.539227783534266e-5,5.503796539589664e-5,4,0.05301767675552863
17.004,0.03984529439300458,0.08531758611684827,0.25753836463365715,9.533163133599116e-5,5.512832704928552e-5,4,0.049099247538702255
17.261,0.039028201810512635,0.08354395099560137,0.2553449271785363,9.530285440102986e-5,5.5229608172738484e-5,4,0.04606860553977504
17.518,0.03825453871593216,0.08181432445797944,0.2531191027194717,9.530018954271839e-5,5.532381890174113e-5,4,0.041002915316362534
17.756,0.03761033340946414,0.08025934146959258,0.25103546319031456,9.530925042136206e-5,5.540025547288097e-5,4,0.036006238437239504
18.013,0.03696558772846262,0.07862258414808479,0.24873772029044192,9.53212534903181e-5,5.547222726396759e-5,4,0.030699153533702866
