t,E_core,E_kin,E_field,absorbed_cum,gauss_res
3.7,0.0002067918051116409,0.00019365724756032407,1.314931942316821e-5,5.2276257611460475e-8,0.0008333
3.763,0.0002070313394839557,0.0001937729063182863,1.3273366641850006e-5,5.276121249741057e-8,0.0008359
3.825,0.0002072651480066423,0.00019388641205141344,1.3393802589199968e-5,5.3295417667636516e-8,0.0008386
3.888,0.0002074931753988179,0.00019399759405703518,1.3510640383518028e-5,5.391584411418641e-8,0.0008413
3.95,0.00020771524938007364,0.00019410629124215026,1.362396033971767e-5,5.459171044684098e-8,0.0008441
4.013,0.00020793131387011497,0.00019421236599136856,1.3733868820742124e-5,5.5251303226816627e-8,0.0008469
4.075,0.000208141260358842,0.0001943157015230221,1.3840429224278903e-5,5.585394068440848e-8,0.0008497
4.138,0.0002083449706351634,0.00019441623927221051,1.3943608854841742e-5,5.6404505406273284e-8,0.0008526
4.2,0.00020854237111740288,0.00019451398851512238,1.4043294249876507e-5,5.692747226712632e-8,0.0008556
4.263,0.00020873336773756895,0.00019460895227743524,1.4139398586165016e-5,5.7436129870456396e-8,0.0008585
4.325,0.0002089179357183735,0.00019470107035397032,1.4231913147695518e-5,5.793717099666355e-8,0.0008615
4.388,0.0002090959929470246,0.00019479021462832745,1.432090674029329e-5,5.843738174664136e-8,0.0008646
4.45,0.00020926748533567788,0.00019487623576822793,1.440648321636547e-5,5.894082667041002e-8,0.0008676
4.513,0.0002094323958863269,0.00019495900237460217,1.448874121621824e-5,5.944648386964571e-8,0.0008707
4.575,0.00020959070413850898,0.00019503838263658656,1.4567787376132796e-5,5.995720796518403e-8,0.0008738
4.638,0.00020974238126066265,0.00019511424760477157,1.4643733663178465e-5,6.047695189877234e-8,0.000877
4.7,0.000209887432601213,0.00019518652184424986,1.4716647873786255e-5,6.100730256413839e-8,0.0008801
4.763,0.00021002585821129215,0.00019525522629547276,1.4786510762259398e-5,6.154706712449743e-8,0.0008833
4.825,0.00021015766272433197,0.00019532041016785028,1.4853279677366935e-5,6.209664986581994e-8,0.0008866
4.888,0.0002102828659320154,0.00019538208344521829,1.4916959054559465e-5,6.265746833121774e-8,0.0008898
4.95,0.00021040148919013063,0.00019544022434264918,1.4977597535106138e-5,6.322863715969014e-8,0.000893
5.013,0.0002105135769747323,0.00019549483160118963,1.5035228787607207e-5,6.38097114055444e-8,0.0008963
5.075,0.00021061914682885858,0.00019554591753460413,1.5089874054966644e-5,6.440107392401376e-8,0.0008996
5.138,0.00021071825731811442,0.00019559348942928164,1.5141565431284742e-5,6.500211802057462e-8,0.0009029
5.2,0.0002108109413455947,0.00019563755795480242,1.519033750433693e-5,6.56126983922184e-8,0.0009062
5.263,0.00021089725472917347,0.0001956781425424184,1.5236220539284486e-5,6.623257413990282e-8,0.0009095
